diseases,glob_symp
0,"[0, 1, 2, 3, 4, 5, 6, 7]"
1,"[8, 9, 10, 11, 12, 13]"
2,"[14, 15, 16, 17, 18, 19]"
3,"[20, 21, 22, 23, 24, 25, 9, 26, 10, 11, 12, 27]"
4,"[20, 24, 28, 9, 10, 29, 30, 31, 32, 27, 33, 34, 35]"
5,"[36, 37, 38, 39, 40, 41, 42]"
6,"[43, 44, 30, 45, 46, 47, 48, 49]"
7,"[50, 51, 20, 52]"
8,"[22, 53, 54, 55]"
9,"[56, 57, 58, 59, 60]"
10,"[61, 51, 26, 15]"
11,"[62, 63, 64, 65]"
12,"[66, 67, 44, 28, 68, 12, 69, 70]"
13,"[71, 72, 73, 74, 44, 75, 45, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]"
14,"[23, 88, 89, 24, 90, 9, 10, 11, 91, 12, 92, 93, 84, 15, 51, 94]"
15,"[90, 44, 32, 89]"
16,"[24, 50, 26, 95, 96, 15, 27, 97]"
17,"[98, 99, 100, 101, 102]"
18,"[103, 24, 21, 9, 10, 104, 105]"
19,"[22, 106, 107, 26, 10, 108, 109]"
